name_c,filename,obtainedFrom
高興,HappyDance,普通
得意！,SmugFace,悠閒
糟了！,Oops,悠閒
奸笑,Scheming,活力
瞪,Silent,成熟
靈光乍現,IdeaBulb,暴躁
心碎,BrokenHeart,自戀
笑瞇瞇,Smiling,活力
嗨！,Greeting,所有
煩惱,Worried,暴躁
思考中,Thinking,成熟
啊！,Aha,所有
大哭,Crying,悠閒
打噴嚏,Sneezing,運動
微笑,Grin,自戀
打呵欠,Sleepy,活力
嘆氣,Sighing,成熟
不好意思,Hesitate,悠閒
看我的,Shaki,自戀
嚇一跳！,Surprised,運動
苦笑,WrySmile,暴躁
失落,SadSpiral,普通
算了,OhGeez,自戀
對吧！,Hello,普通
喜歡,Love,成熟
笑哈哈,Laughing,大姐姐
開心,HappyFlower,所有
轉轉～將！,Dance,運動
顫抖,Shaking,普通
加油～！,Cheering,運動
睡著了,Sleep,自戀
緊張,Frantic,運動
不要,Negative,大姐姐
拍手,Clapping,所有
想像中,AbsentMindedness,普通
什麼？,QuestionMark,活力
交給我,Assent,大姐姐
咻～,ColdChill,大姐姐
嗯？,Pardon,暴躁
害羞,Blushing,悠閒
鞠躬,Apologize,大姐姐
驚！,Shocked,成熟
點頭,Nodding,暴躁
生氣,Outraged,活力
